oa_display_name	is_prof	group_size	perceived_as_male	host_dept	has_research_group	oa_uid	group_url	first_pub_year
	1		1	Community Development and Applied Economics	0.0			
	1		1	Psychological Science	1.0		https://www.todd-lab.org/personnel	
	1		1	Grossman School of Business	0.0			
	1		0	Rehabilitation and Movement Science	0.0			
	1		1	Music	0.0			
	1		1	Medicine	0.0			
	1		1	Rehabilitation and Movement Science	0.0			
	1		1	Pathology and Laboratory Medicine	1.0		http://www.med.uvm.edu/lcbr/about	
	1		1	Surgery	0.0			
	1		0	Nutrition and Food Sciences	0.0			
	1		0	Molecular Physiology and Biophysics	0.0			
	1		1	Rubenstein School of Environment and Natural Resources	0.0			
	1		1	Grossman School of Business	0.0			
	1		1	Geography and Geosciences	0.0			
	1		1	Medicine	0.0			
	1		0	Radiology	0.0			
	1		1	Pathology and Laboratory Medicine	1.0		https://www.med.uvm.edu/pathology/van-der-vliet-lab	
	1		1	Anthropology	0.0			
	1		1	Grossman School of Business	0.0			
	1		0	Education	0.0			
	1		0	Social Work	0.0			
	1		1	Grossman School of Business	0.0			
	1		0	Mathematics and Statistics	0.0			
	1		1	History	0.0			
	1		1	Anthropology	0.0			
	1		0	Economics	0.0			
	1		0	Neurological Sciences	1.0		https://www.med.uvm.edu/neuro/vizzard_lab	
	1		1	Political Science	0.0			
	1		1	Grossman School of Business	0.0			
	1		1	Spanish	0.0			
	1		0	History	0.0			
	1		1	Education	0.0			
	1		1	Community Development and Applied Economics	0.0			
	1		1	Microbiology and Molecular Genetics	1.0		https://wardlab.us/	
	1		1	Microbiology and Molecular Genetics	1.0		https://www.med.uvm.edu/mmg/faculty/matt-wargo-ph-dd	
	1		1	Mathematics and Statistics	0.0			
	1		1	Molecular Physiology and Biophysics	1.0		https://physioweb.uvm.edu/warshaw-lab/people/	
	1		1	Chemistry	0.0			
	1		0	Geography and Geosciences	0.0		https://sites.google.com/site/laurawebbuvmgeology/home/students	
	1		1	Philosophy	0.0			
	1		0	Counseling, Human Development and Family Science	0.0			
	1		1	Pharmacology	1.0		https://www.med.uvm.edu/pharmacology/wellmanlab	
	1		0	Rubenstein School of Environment and Natural Resources	1.0		https://blog.uvm.edu/bwemple/research-group/	
	1		0	Rehabilitation and Movement Science	0.0			
	1		1	Physics	0.0			
	1		0	Political Science	0.0			
	1		0	Education	0.0			
	1		1	Mathematics and Statistics	0.0			
	1		0	Spanish	0.0			
